id,timestamp,headline,source,url,related_symbols,category,summary
NEWS-4020,2024-04-05T10:00:00Z,"NFT Lending Surpasses $1.2 Billion",NFT Lending News,,ETH-USD;SOL-USD,NFTs,"NFT lending platforms have surpassed $1.2 billion in loans."
NEWS-4021,2024-04-05T10:30:00Z,"Retail Crypto Investment Continues to Grow",Retail Crypto News,,BTC-USD;ETH-USD,Market Trend,"Retail crypto investment continues to grow, boosting trading volumes."
NEWS-4022,2024-04-05T11:00:00Z,"Stablecoin Regulation Bill Moves Forward",Crypto Regulation Today,,USDT-USD;USDC-USD,Regulation,"A stablecoin regulation bill is moving forward in Congress."
NEWS-4023,2024-04-05T11:30:00Z,"Ethereum Developers Test Next Upgrade",ETH Dev Updates,,ETH-USD,Protocol Update,"Ethereum developers are testing the next network upgrade."
NEWS-4024,2024-04-05T12:00:00Z,"Solana NFT Platform Launches Rewards",Solana NFT Platform,,SOL-USD,NFTs,"A Solana NFT platform has launched a new rewards program."
NEWS-4025,2024-04-05T12:30:00Z,"Bitcoin ETF Inflows Hit New Peak",ETF Analytics,,BTC-USD,Market Trend,"Bitcoin ETF inflows have hit a new peak after recent outflows."
NEWS-4026,2024-04-05T13:00:00Z,"Polygon Launches Environmental Initiative",Polygon Green,,MATIC-USD,Ecosystem,"Polygon has launched a new environmental initiative."
NEWS-4027,2024-04-05T13:30:00Z,"Chainlink Expands to More Enterprise Clients",Enterprise Chainlink,,LINK-USD,Integration,"Chainlink is expanding to more enterprise clients in finance."
NEWS-4028,2024-04-05T14:00:00Z,"Cardano Community Approves Treasury Changes",Cardano Treasury,,ADA-USD,Governance,"The Cardano community has approved changes to treasury allocation."
NEWS-4029,2024-04-05T14:30:00Z,"Avalanche Offers New Developer Grants",AVAX Grants,,AVAX-USD,Ecosystem,"Avalanche is offering new grants for developer projects."
NEWS-4030,2024-04-05T15:00:00Z,"NFT Gaming Investments Hit Record",NFT Gaming Insights,,ETH-USD;SOL-USD,NFTs,"NFT gaming investments have hit a new record."
NEWS-4031,2024-04-05T15:30:00Z,"US Senate Debates Crypto Legislation",Congress Crypto,,BTC-USD;ETH-USD,Regulation,"The US Senate is debating new crypto legislation."
NEWS-4032,2024-04-05T16:00:00Z,"DeFi TVL Sets New All-Time High",DeFi Records,,ETH-USD;SOL-USD,DeFi,"DeFi TVL has set a new all-time high."
NEWS-4033,2024-04-05T16:30:00Z,"Polygon zkEVM Attracts More Projects",Polygon zkEVM News,,MATIC-USD,Technology,"Polygon zkEVM is attracting more projects for scalability."
NEWS-4034,2024-04-05T17:00:00Z,"Bitcoin Hashrate Remains Elevated",Mining Insights,,BTC-USD,Technology,"Bitcoin's hashrate remains elevated, supporting security."
NEWS-4035,2024-04-05T17:30:00Z,"Solana Validators Consider New Proposal",Solana Governance News,,SOL-USD,Governance,"Solana validators are considering a new proposal for fee reduction."
NEWS-4036,2024-04-05T18:00:00Z,"Avalanche NFT Sales Set New Record",AVAX NFT Insights,,AVAX-USD,NFTs,"Avalanche NFT sales have set a new record this month."
NEWS-4037,2024-04-05T18:30:00Z,"Ethereum Foundation Funds ZK Research",ETH Foundation News,,ETH-USD,Research,"The Ethereum Foundation is funding new zero-knowledge research."
NEWS-4038,2024-04-05T19:00:00Z,"Chainlink Partners With International Bank",Global Finance News,,LINK-USD,Partnership,"Chainlink has partnered with an international bank for data feeds."
NEWS-4039,2024-04-05T19:30:00Z,"Cardano Launches Identity Verification Platform",Cardano Identity,,ADA-USD,Technology,"Cardano has launched a new identity verification platform."
NEWS-4040,2024-04-05T20:00:00Z,"Polygon DeFi TVL Tops $6 Billion",DeFi Polygon News,,MATIC-USD,DeFi,"Polygon DeFi TVL has topped $6 billion."
NEWS-4041,2024-04-05T20:30:00Z,"Avalanche Integrates With New Wallet Provider",Wallet News,,AVAX-USD,Integration,"Avalanche has integrated with a new wallet provider for better access."
