news_id,timestamp,headline_excerpt,sentiment_label,confidence_score,annotator_id,notes
NEWS-2008,2024-04-19T16:00:00Z,"SEC Delays Decision on Another Spot Bitcoin ETF...",Negative,0.60,Annotator-C,"Regulatory delays often create negative short-term sentiment."
NEWS-2009,2024-04-20T16:45:00Z,"Avalanche C-Chain Experiences Brief Outage...",Negative,0.70,Annotator-A,"Network outages negatively impact usability and trust."
NEWS-2010,2024-04-20T17:30:00Z,"Dogecoin Foundation Releases New Trailmap...",Neutral,0.65,Annotator-B,"Roadmap update, impact depends on execution and community reception."
NEWS-2011,2024-04-21T18:00:00Z,"XRP Price Remains Range-Bound Amid Lawsuit Uncertainty...",Neutral,0.70,Annotator-C,"Price stagnation linked to ongoing legal case."
NEWS-2012,2024-04-21T18:45:00Z,"New Meme Coin 'PEPE' Sees Explosive Growth...",Positive,0.55,Annotator-A,"Highly speculative, but represents positive short-term price action for the specific coin."
NEWS-2013,2024-04-22T19:15:00Z,"Web3 Infrastructure Provider Raises $100M Series B...",Positive,0.93,Annotator-B,"Significant funding indicates strong investor confidence in Web3 infrastructure."
NEWS-2014,2024-04-22T20:00:00Z,"Smart Contract Exploit Drains $5M from DeFi Protocol...",Negative,0.96,Annotator-C,"Another security incident highlighting DeFi risks."
NEWS-2015,2024-04-23T20:30:00Z,"Polkadot Community Approves Treasury Proposal...",Neutral,0.80,Annotator-A,"Governance activity, neutral unless proposal is highly impactful."
NEWS-2016,2024-04-23T21:00:00Z,"Ethereum Layer 2 Arbitrum Announces Nitro Upgrade...",Positive,0.85,Annotator-B,"Positive technical upgrade expected to improve performance."
NEWS-2017,2024-04-24T21:45:00Z,"Crypto Market Sentiment Index Shows 'Extreme Greed'...",Neutral,0.70,Annotator-C,"Indicates high optimism, but can also signal potential pullback."
NEWS-2018,2024-04-24T22:30:00Z,"Binance Faces Regulatory Probe in New Jurisdiction...",Negative,0.75,Annotator-A,"Regulatory challenges for major exchanges are generally negative."
NEWS-2019,2024-04-25T23:00:00Z,"Solana NFT Marketplace Magic Eden Expands to Polygon...",Positive,0.82,Annotator-B,"Cross-chain expansion is positive for both ecosystems."
NEWS-2020,2024-04-25T23:45:00Z,"Cardano Vasil Hard Fork Implementation Progressing...",Positive,0.78,Annotator-C,"Positive progress on a major network upgrade."
NEWS-2021,2024-04-26T09:00:00Z,"Litecoin Foundation Partners with E-commerce Platform...",Positive,0.75,Annotator-A,"Partnership aimed at increasing LTC payment adoption."
NEWS-2022,2024-04-26T10:00:00Z,"US Inflation Data Comes In Higher Than Expected; BTC Dips...",Negative,0.80,Annotator-B,"Negative macroeconomic news impacting risk assets like Bitcoin."
NEWS-2023,2024-04-27T11:00:00Z,"Decentralized Social Media Platform Gains Users...",Positive,0.68,Annotator-C,"Growth in Web3 social platforms seen as positive for the sector."
NEWS-2024,2024-04-27T12:00:00Z,"Chainlink BUILD Program Welcomes New Projects...",Positive,0.80,Annotator-A,"Ecosystem growth initiative viewed positively."
NEWS-2025,2024-04-28T13:00:00Z,"Bitcoin Mining Council Reports Increased Sustainable Energy Use...",Positive,0.72,Annotator-B,"Positive development addressing environmental concerns."
NEWS-2026,2024-04-28T14:00:00Z,"Ethereum Developers Discuss Next Steps After Merge...",Neutral,0.85,Annotator-C,"Ongoing development discussions, neutral impact for now."
NEWS-2027,2024-04-29T15:00:00Z,"Solana Pay Integrated by Major Retailer...",Positive,0.90,Annotator-A,"Significant adoption milestone for Solana's payment solution."
NEWS-2028,2024-04-29T16:00:00Z,"Cardano DeFi TVL Reaches New High...",Positive,0.83,Annotator-B,"Growth in Total Value Locked indicates increasing DeFi activity on Cardano."
NEWS-2029,2024-04-30T17:00:00Z,"Polygon Co-founder Outlines Vision for Polygon 2.0...",Positive,0.88,Annotator-C,"Positive strategic update outlining future plans."
NEWS-2030,2024-04-30T18:00:00Z,"Crypto Custody Provider Loses Private Keys...",Negative,0.95,Annotator-A,"Major security failure with significant negative implications."
NEWS-2031,2024-05-01T09:30:00Z,"Avalanche Launches $290M Metaverse Incentive Program...",Positive,0.86,Annotator-B,"Significant investment to boost metaverse development on Avalanche."
NEWS-2032,2024-05-01T10:30:00Z,"XRP Holders Await Summary Judgment in SEC Case...",Neutral,0.65,Annotator-C,"Anticipation builds around key legal decision, outcome uncertain."
NEWS-2033,2024-05-02T11:00:00Z,"NFT Trading Volume Sees Slight Uptick...",Neutral,0.60,Annotator-A,"Minor increase, but market still far from previous highs. Neutral."
NEWS-2034,2024-05-02T12:00:00Z,"Polkadot Parachain Slot Auction Winners Announced...",Neutral,0.77,Annotator-B,"Routine ecosystem event, neutral impact."
NEWS-2035,2024-05-03T13:00:00Z,"Ethereum Staking Yields Stabilize...",Neutral,0.70,Annotator-C,"Yields holding steady after previous fluctuations."
NEWS-2036,2024-05-03T14:00:00Z,"Bitcoin Network Fees Spike Amid Ordinals Activity...",Negative,0.68,Annotator-A,"High fees negatively impact regular transactions, though shows network usage."
NEWS-2037,2024-05-04T15:00:00Z,"Coinbase Expands Services to European Countries...",Positive,0.85,Annotator-B,"Expansion into new markets is positive for growth."
NEWS-2038,2024-05-04T16:00:00Z,"Solana Network Update Aims to Improve Reliability...",Positive,0.80,Annotator-C,"Positive step towards addressing past network instability issues."
NEWS-2039,2024-05-05T17:00:00Z,"Cardano Hydra Scaling Solution Shows Promise in Tests...",Positive,0.82,Annotator-A,"Positive development for Cardano's layer 2 scaling."
NEWS-2040,2024-05-05T18:00:00Z,"Chainlink VRF Used to Secure NFT Mint...",Positive,0.79,Annotator-B,"Demonstrates utility of Chainlink services in the NFT space."
NEWS-2041,2024-05-06T19:00:00Z,"Polygon Labs Announces Layoffs Amid Restructuring...",Negative,0.70,Annotator-C,"Layoffs generally perceived negatively, despite restructuring narrative."
NEWS-2042,2024-05-06T20:00:00Z,"Global Regulators Meet to Discuss Crypto Framework...",Neutral,0.75,Annotator-A,"Ongoing regulatory discussions, outcome and impact uncertain."
NEWS-2043,2024-05-07T21:00:00Z,"Avalanche Based GameFi Project Raises Seed Round...",Positive,0.81,Annotator-B,"Funding for ecosystem projects is positive."
NEWS-2044,2024-05-07T22:00:00Z,"Bitcoin Price Drops Below Key Support Level...",Negative,0.88,Annotator-C,"Breaking below support is a negative technical signal."
NEWS-2045,2024-05-08T09:00:00Z,"Ethereum Layer 2 Optimism Announces Bedrock Upgrade...",Positive,0.87,Annotator-A,"Major technical upgrade expected to reduce fees and improve performance."
NEWS-2046,2024-05-08T10:00:00Z,"Ripple Expands On-Demand Liquidity Corridors...",Positive,0.80,Annotator-B,"Positive news for XRP utility and Ripple's business."
NEWS-2047,2024-05-09T11:00:00Z,"NFT Marketplace Blur Introduces New Lending Feature...",Positive,0.75,Annotator-C,"New feature enhances platform utility, potentially positive."
NEWS-2048,2024-05-09T12:00:00Z,"Polkadot Treasury Funds Decentralized Identity Project...",Positive,0.78,Annotator-A,"Ecosystem funding for promising technology."
NEWS-2049,2024-05-10T13:00:00Z,"Binance Announces Delisting of Several Altcoins...",Negative,0.65,Annotator-B,"Delisting reduces liquidity and access, negative for the specific coins."
NEWS-2050,2024-05-10T14:00:00Z,"US Senator Proposes Bill for Crypto Consumer Protection...",Neutral,0.70,Annotator-C,"Regulatory proposal, could be positive (clarity) or negative (restrictions)."
NEWS-2051,2024-05-11T15:00:00Z,"Solana Hacker House Event Concludes Successfully...",Positive,0.76,Annotator-A,"Positive community and developer engagement event."
NEWS-2052,2024-05-11T16:00:00Z,"Cardano Stake Pool Operators Discuss Parameter Changes...",Neutral,0.72,Annotator-B,"Ongoing network maintenance and governance discussions."
NEWS-2053,2024-05-12T17:00:00Z,"Chainlink Economics 2.0 Paper Released...",Positive,0.84,Annotator-C,"Update on tokenomics and long-term sustainability plan."
NEWS-2054,2024-05-12T18:00:00Z,"Polygon zkEVM Sees Increase in dApp Deployments...",Positive,0.80,Annotator-A,"Positive adoption indicator for Polygon's ZK solution."
NEWS-2055,2024-05-13T19:00:00Z,"Crypto Market Recovers Slightly After Weekend Dip...",Positive,0.60,Annotator-B,"Minor recovery, cautiously positive sentiment."
NEWS-2056,2024-05-13T20:00:00Z,"Avalanche Bridge Adds Support for New Assets...",Positive,0.78,Annotator-C,"Increased interoperability is positive for the ecosystem."
NEWS-2057,2024-05-14T09:00:00Z,"Bitcoin Fear & Greed Index Returns to 'Neutral'...",Neutral,0.70,Annotator-A,"Market sentiment shifts away from extreme fear/greed."
